t,prec,rec
0.01,5.015925563664635e-05,1.0
0.05,0.00396235760277365,0.8
0.1,0.00396235760277365,0.8
0.3,0.016051364365971106,1.0
0.5,0.0,0.0
0.7,0.0,0.0
0.9,0.0,0.0
0.95,0.0,0.0
0.99,0.0,0.0
